1,Alekhine Defense,,e4 Nf6
2,Alekhine Defense,#2,
3,Alekhine Defense,#3,
4,Alekhine Defense,Balogh Variation,
5,Alekhine Defense,Brooklyn Variation,
6,Alekhine Defense,"Brooklyn Variation, Everglades Variation",
7,Alekhine Defense,Buckley Attack,
8,Alekhine Defense,Exchange Variation,
9,Alekhine Defense,Four Pawns Attack,
10,Alekhine Defense,"Four Pawns Attack, 6...Nc6",
11,Alekhine Defense,"Four Pawns Attack, Cambridge Gambit",
12,Alekhine Defense,"Four Pawns Attack, Fianchetto Variation",
13,Alekhine Defense,"Four Pawns Attack, Main Line",
14,Alekhine Defense,"Four Pawns Attack, Tartakower Variation",
15,Alekhine Defense,"Four Pawns Attack, Trifunovic Variation",
16,Alekhine Defense,Hunt Variation,
17,Alekhine Defense,"Hunt Variation, Lasker Simul Gambit",
18,Alekhine Defense,"Hunt Variation, Mikenas Gambit",
19,Alekhine Defense,John Tracy Gambit,
20,Alekhine Defense,Kmoch Variation,
21,Alekhine Defense,Krejcik Variation,
22,Alekhine Defense,"Krejcik Variation, Krejcik Gambit",
23,Alekhine Defense,Maroczy Variation,
24,Alekhine Defense,Modern Variation,
25,Alekhine Defense,"Modern Variation, Alburt Variation",
26,Alekhine Defense,"Modern Variation, Alekhine Gambit",
27,Alekhine Defense,"Modern Variation, Alekhine Variation",
28,Alekhine Defense,"Modern Variation, Keres Variation",
29,Alekhine Defense,"Modern Variation, Larsen Variation",
30,Alekhine Defense,"Modern Variation, Larsen-Haakert Variation",
31,Alekhine Defense,"Modern Variation, Main Line",
32,Alekhine Defense,"Modern Variation, Panov Variation",
33,Alekhine Defense,"Modern Variation, Schmid Variation",
34,Alekhine Defense,"Modern, Flohr Variation",
35,Alekhine Defense,"Modern, Vitolins Attack",
36,Alekhine Defense,Mokele Mbembe,
37,Alekhine Defense,"Mokele Mbembe, Modern Line",
38,Alekhine Defense,"Mokele Mbembe, Vavra Defense",
39,Alekhine Defense,Normal Variation,
40,Alekhine Defense,O'Sullivan Gambit,
41,Alekhine Defense,Saemisch Attack,
42,Alekhine Defense,Scandinavian Variation,
43,Alekhine Defense,"Scandinavian Variation, Geschev Gambit",
44,Alekhine Defense,"Scandinavian Variation, Myers Gambit",
45,Alekhine Defense,Spielmann Gambit,
46,Alekhine Defense,Steiner Variation,
47,Alekhine Defense,The Squirrel,
48,Alekhine Defense,Two Pawn Attack,
49,Alekhine Defense,"Two Pawn Attack, Lasker Variation",
50,Alekhine Defense,"Two Pawns Attack, Mikenas Variation",
51,Alekhine Defense,Welling Variation,
52,Amar Gambit,,
53,Amar Opening,,Nh3
54,Amar Opening,Paris Gambit,
55,Amazon Attack,,
56,Amazon Attack,Siberian Attack,
57,Anderssen Opening,,a3
58,Anderssen Opening,Polish Gambit,
59,Australian Defense,,d4 Na6
60,Barnes Defense,,e4 f6
61,Barnes Opening,Fool's Mate,
62,Barnes Opening,Gedult Gambit,
63,Barnes Opening,Gedult Gambit #2,
64,Barnes Opening,Walkerling,
65,Benko Gambit,,
66,Benko Gambit,Fianchetto Variation,
67,Benko Gambit,Nd2 Variation,
68,Benko Gambit,Zaitsev System,
69,Benko Gambit,"Zaitsev Variation, Nescafe Frappe Attack",
70,Benko Gambit Accepted,,
71,Benko Gambit Accepted,Dlugy Variation,
72,Benko Gambit Accepted,Fianchetto Variation,
73,Benko Gambit Accepted,Fully Accepted Variation,
74,Benko Gambit Accepted,Modern Variation,
75,Benko Gambit Accepted,Pawn Return Variation,
76,Benko Gambit Accepted,Yugoslav,
77,Benko Gambit Declined,Bishop Attack,
78,Benko Gambit Declined,Hjoerring Countergambit,
79,Benko Gambit Declined,Main Line,
80,Benko Gambit Declined,Pseudo-Saemisch,
81,Benko Gambit Declined,Quiet Line,
82,Benko Gambit Declined,Sosonko Variation,
83,Benoni Defense,,
84,Benoni Defense,Benoni Gambit Accepted,
85,Benoni Defense,"Benoni Gambit, Schlenker Defense",
86,Benoni Defense,Benoni-Indian Defense,
87,Benoni Defense,"Benoni-Indian Defense, Kingside Move Order",
88,Benoni Defense,Benoni-Staunton Gambit,
89,Benoni Defense,Classical Variation,
90,Benoni Defense,"Classical Variation, Argentine Counterattack",
91,Benoni Defense,"Classical Variation, Averbakh-Grivas Attack",
92,Benoni Defense,"Classical Variation, Czerniak Defense",
93,Benoni Defense,"Classical Variation, Czerniak Defense, Tal Line",
94,Benoni Defense,"Classical Variation, Full Line",
95,Benoni Defense,"Classical Variation, Main Line",
96,Benoni Defense,"Classical Variation, New York Variation",
97,Benoni Defense,"Classical Variation, Traditional Variation",
98,Benoni Defense,"Classical, without 9.O-O",
99,Benoni Defense,Cormorant Gambit,
100,Benoni Defense,Czech Benoni Defense,
101,Benoni Defense,Fianchetto Variation,
102,Benoni Defense,"Fianchetto Variation, Hastings Defense",
103,Benoni Defense,"Fianchetto Variation, Hastings Defense, Main Line",
104,Benoni Defense,Four Pawns Attack,
105,Benoni Defense,"Four Pawns Attack, Main Line",
106,Benoni Defense,Franco-Sicilian Hybrid,
107,Benoni Defense,Hawk Variation,
108,Benoni Defense,Hromadka System,
109,Benoni Defense,King's Indian System,
110,Benoni Defense,King's Pawn Line,
111,Benoni Defense,Knight's Tour Variation,
112,Benoni Defense,Mikenas Variation,
113,Benoni Defense,Modern Variation,
114,Benoni Defense,"Modern Variation, Snake Variation",
115,Benoni Defense,Old Benoni,
116,Benoni Defense,"Old Benoni, Schmid Variation",
117,Benoni Defense,Pawn Storm Variation,
118,Benoni Defense,Snail Variation,
119,Benoni Defense,Taimanov Variation,
120,Benoni Defense,Uhlmann Variation,
121,Benoni Defense,Weenink Variation,
122,Benoni Defense,Woozle,
123,Benoni Defense,Zilbermints-Benoni Gambit,
124,Bird Opening,,
125,Bird Opening,Batavo-Polish Attack,
126,Bird Opening,Dutch Variation,
127,Bird Opening,"Dutch Variation, Batavo Gambit",
128,Bird Opening,"Dutch Variation, Dudweiler Gambit",
129,Bird Opening,From's Gambit,
130,Bird Opening,"From's Gambit, Bahr Gambit",
131,Bird Opening,"From's Gambit, Langheld Gambit",
132,Bird Opening,"From's Gambit, Lasker Variation",
133,Bird Opening,"From's Gambit, Lipke Variation",
134,Bird Opening,Hobbs Gambit,
135,Bird Opening,Horsefly Defense,
136,Bird Opening,Lasker Gambit,
137,Bird Opening,Lasker Variation,
138,Bird Opening,Mujannah,
139,Bird Opening,Myers Defense,
140,Bird Opening,Schlechter Gambit,
141,Bird Opening,Sturm Gambit,
142,Bird Opening,Thomas Gambit,
143,Bird Opening,Wagner-Zwitersch Gambit,
144,Bird Opening,Williams Gambit,
145,Bird Opening,Williams-Zilbermints Gambit,
146,Bishop's Opening,,
147,Bishop's Opening,Anderssen Gambit,
148,Bishop's Opening,Berlin Defense,
149,Bishop's Opening,"Berlin Defense, Greco Gambit",
150,Bishop's Opening,Boden-Kieseritzky Gambit,
151,Bishop's Opening,Boi Variation,
152,Bishop's Opening,Calabrese Countergambit,
153,Bishop's Opening,"Calabrese Countergambit, Jaenisch Variation",
154,Bishop's Opening,Horwitz Gambit,
155,Bishop's Opening,Khan Gambit,
156,Bishop's Opening,Kitchener Folly,
157,Bishop's Opening,Lewis Countergambit #2,
158,Bishop's Opening,Lewis Gambit,
159,Bishop's Opening,Lopez Variation,
160,Bishop's Opening,"Lopez Variation, Lopez Gambit",
161,Bishop's Opening,McDonnell Gambit,
162,Bishop's Opening,"McDonnell Gambit, La Bourdonnais-Denker Gambit",
163,Bishop's Opening,"McDonnell Gambit, McDonnell Double Gambit",
164,Bishop's Opening,Pachman Gambit,
165,Bishop's Opening,Philidor Counterattack,
166,Bishop's Opening,Philidor Variation,
167,Bishop's Opening,Ponziani Gambit,
168,Bishop's Opening,Stein Gambit,
169,Bishop's Opening,Urusov Gambit,
170,Bishop's Opening,"Urusov Gambit, Keidansky Gambit",
171,Bishop's Opening,"Urusov Gambit, Panov Variation",
172,Bishop's Opening,Vienna Hybrid,
173,Bishop's Opening,"Vienna Hybrid, Hromadka Variation",
174,Bishop's Opening,"Vienna Hybrid, Spielmann Attack",
175,Bishop's Opening,Warsaw Gambit,
176,Blackmar-Diemer Gambit,,
177,Blackmar-Diemer Gambit,#2,
178,Blackmar-Diemer Gambit,Bogoljubov Variation,
179,Blackmar-Diemer Gambit,"Bogoljubov Variation, Nimzowitsch Attack",
180,Blackmar-Diemer Gambit,"Bogoljubov Variation, Studier Attack",
181,Blackmar-Diemer Gambit,Diemer-Rosenberg Attack,
182,Blackmar-Diemer Gambit,Euwe Defense,
183,Blackmar-Diemer Gambit,Fritz Attack,
184,Blackmar-Diemer Gambit,Gedult Gambit,
185,Blackmar-Diemer Gambit,Kaulich Defense,
186,Blackmar-Diemer Gambit,"Lemberger Countergambit, Diemer Attack",
187,Blackmar-Diemer Gambit,"Lemberger Countergambit, Endgame Variation",
188,Blackmar-Diemer Gambit,"Lemberger Countergambit, Rassmussen Attack",
189,Blackmar-Diemer Gambit,"Lemberger Countergambit, Simple Variation",
190,Blackmar-Diemer Gambit,Netherlands Variation,
191,Blackmar-Diemer Gambit,Pietrowsky Defense,
192,Blackmar-Diemer Gambit,Rasa-Studier Gambit,
193,Blackmar-Diemer Gambit,Ritter Defense,
194,Blackmar-Diemer Gambit,Ryder Gambit,
195,Blackmar-Diemer Gambit,Schlutter Defense,
196,Blackmar-Diemer Gambit,Tartakower Variation,
197,Blackmar-Diemer Gambit,Teichmann Variation,
198,Blackmar-Diemer Gambit,Vienna Variation,
199,Blackmar-Diemer Gambit,von Popiel Gambit,
200,Blackmar-Diemer Gambit,Zeller Defense,
201,Blackmar-Diemer Gambit,"Zeller Defense, Soller Attack",
202,Blackmar-Diemer Gambit,Ziegler Defense,
203,Blackmar-Diemer Gambit Declined,Brombacher Countergambit,
204,Blackmar-Diemer Gambit Declined,Elbert Countergambit,
205,Blackmar-Diemer Gambit Declined,Grosshans Defense,
206,Blackmar-Diemer Gambit Declined,Lamb Defense,
